apartment_id,gu,exclusive_use_area,year_of_completion,transaction_year_month,transaction_date,floor,park_area_sum,day_care_babyTeacher_rate,transaction_real_price
7622,20,84.82,2002,200801,2,2,214796.5,4.78,37500
5399,20,99.17,1973,200801,0,6,214796.5,4.78,20000
3578,20,84.74,2007,200801,0,6,214796.5,4.78,38500
10957,20,146.39,2003,200801,1,15,214796.5,4.78,118000
10639,20,194.43,2004,200801,2,3,214796.5,4.78,120000
12536,20,106.81,2006,200801,0,16,214796.5,4.78,67000
12536,20,92.81,2006,200801,0,7,214796.5,4.78,50270
12536,20,98.39,2006,200801,1,7,214796.5,4.78,46000
12536,20,84.64,2006,200801,2,15,214796.5,4.78,35368
12536,20,84.98,2006,200801,2,7,214796.5,4.78,46800
333,20,40.32,2004,200801,2,7,214796.5,4.78,15000
7808,20,84.59,2002,200801,0,1,214796.5,4.78,30400
4117,20,75.6,2003,200801,0,2,214796.5,4.78,22000
7756,20,47.43,1999,200801,1,6,214796.5,4.78,24700
7756,20,65.78,1999,200801,2,5,214796.5,4.78,39800
7756,20,50.49,1999,200801,2,4,214796.5,4.78,22000
7756,20,50.49,1999,200801,2,3,214796.5,4.78,22200
45,20,59.6,1968,200801,0,6,214796.5,4.78,12500
3626,20,59.95,1999,200801,0,2,214796.5,4.78,26800
3626,20,59.95,1999,200801,0,5,214796.5,4.78,28300
3626,20,59.95,1999,200801,0,4,214796.5,4.78,28300
10147,20,79.87,1993,200801,1,12,214796.5,4.78,31000
3080,20,28.8,1968,200801,1,4,214796.5,4.78,19500
10147,20,79.87,1993,200801,1,12,214796.5,4.78,31600
10147,20,54.7,1993,200801,2,12,214796.5,4.78,20000
10147,20,54.7,1993,200801,2,5,214796.5,4.78,21500
10147,20,106.62,1993,200801,2,2,214796.5,4.78,39000
10146,20,79.87,1992,200801,2,12,214796.5,4.78,33000
3626,20,59.95,1999,200801,2,1,214796.5,4.78,26000
10146,20,79.87,1992,200801,2,2,214796.5,4.78,35000
10146,20,79.87,1992,200801,2,8,214796.5,4.78,34500
3130,20,59,1996,200801,1,3,214796.5,4.78,16000
7095,20,80.85,1979,200801,2,7,214796.5,4.78,32500
584,20,30.46,1997,200801,0,12,214796.5,4.78,8350
3970,20,87.27,2001,200801,1,14,214796.5,4.78,50000
584,20,30.46,1997,200801,1,11,214796.5,4.78,8800
584,20,30.55,1997,200801,2,13,214796.5,4.78,6200
584,20,32.56,1997,200801,2,6,214796.5,4.78,8500
12058,20,114.9,2000,200801,1,5,214796.5,4.78,69450
12058,20,84.92,2000,200801,1,21,214796.5,4.78,53950
12058,20,60,2000,200801,1,4,214796.5,4.78,25480
12058,20,84.92,2000,200801,2,18,214796.5,4.78,51900
10459,20,56.4,1999,200802,0,5,214796.5,4.78,11300
10459,20,56.4,1999,200802,1,1,214796.5,4.78,10000
10957,20,146.33,2003,200802,0,3,214796.5,4.78,110000
3926,20,36.86,2005,200802,3,15,214796.5,4.78,22577
12042,20,46.64,2003,200802,3,5,214796.5,4.78,15500
8840,20,84.87,1998,200802,3,8,214796.5,4.78,31500
12042,20,58.78,2003,200802,3,7,214796.5,4.78,29500
12042,20,48.54,2003,200802,3,6,214796.5,4.78,16900
12536,20,106.81,2006,200802,1,13,214796.5,4.78,64000
3287,20,59.34,1999,200802,0,4,214796.5,4.78,12300
3287,20,59.34,1999,200802,1,4,214796.5,4.78,13000
6929,20,84.62,2003,200802,0,2,214796.5,4.78,23000
4117,20,80.37,2003,200802,1,3,214796.5,4.78,26500
4117,20,75.6,2003,200802,1,1,214796.5,4.78,20000
6929,20,84.62,2003,200802,3,3,214796.5,4.78,35000
7754,20,84.9,1995,200802,0,4,214796.5,4.78,51500
7754,20,84.9,1995,200802,0,20,214796.5,4.78,51000
7754,20,84.8,1995,200802,1,20,214796.5,4.78,45000
7754,20,84.9,1995,200802,1,1,214796.5,4.78,44000
7754,20,84.9,1995,200802,1,15,214796.5,4.78,50900
7754,20,84.9,1995,200802,3,4,214796.5,4.78,48900
7754,20,84.9,1995,200802,3,9,214796.5,4.78,50000
10147,20,54.7,1993,200802,0,8,214796.5,4.78,20500
3078,20,58.43,1968,200802,0,5,214796.5,4.78,23500
3626,20,59.95,1999,200802,0,14,214796.5,4.78,29500
10147,20,64.66,1993,200802,0,14,214796.5,4.78,21900
3626,20,59.95,1999,200802,1,2,214796.5,4.78,27200
10147,20,64.66,1993,200802,1,6,214796.5,4.78,22300
10147,20,106.62,1993,200802,1,12,214796.5,4.78,42000
3626,20,84.9,1999,200802,1,11,214796.5,4.78,42800
10146,20,54.7,1992,200802,1,7,214796.5,4.78,23700
436,20,59.55,2002,200802,1,4,214796.5,4.78,18750
10147,20,54.7,1993,200802,1,4,214796.5,4.78,19800
10146,20,79.87,1992,200802,1,9,214796.5,4.78,37800
10146,20,54.7,1992,200802,1,9,214796.5,4.78,23700
3080,20,28.8,1968,200802,3,2,214796.5,4.78,20500
10147,20,64.66,1993,200802,3,4,214796.5,4.78,22700
3080,20,28.8,1968,200802,3,5,214796.5,4.78,19800
10146,20,54.7,1992,200802,3,7,214796.5,4.78,24000
10147,20,64.66,1993,200802,3,3,214796.5,4.78,21600
10147,20,54.7,1993,200802,3,9,214796.5,4.78,20200
10146,20,79.87,1992,200802,3,7,214796.5,4.78,36700
10146,20,54.7,1992,200802,3,5,214796.5,4.78,20000
10147,20,106.62,1993,200802,3,14,214796.5,4.78,41000
10146,20,79.87,1992,200802,3,5,214796.5,4.78,34500
3626,20,84.9,1999,200802,3,7,214796.5,4.78,43000
584,20,30.46,1997,200802,0,7,214796.5,4.78,8500
5647,20,59.97,1998,200802,0,7,214796.5,4.78,23900
584,20,30.46,1997,200802,1,5,214796.5,4.78,8000
584,20,53.33,1997,200802,1,9,214796.5,4.78,15800
9333,20,84.99,1996,200802,3,1,214796.5,4.78,32500
5195,20,81,2004,200802,1,4,214796.5,4.78,25500
12058,20,84.92,2000,200802,0,13,214796.5,4.78,53790
12058,20,60,2000,200802,3,5,214796.5,4.78,34900
12058,20,84.92,2000,200802,3,13,214796.5,4.78,51980
