구분,총계,방범,"어린이
보호구역",공원·놀이터,"쓰레기
무단투기",시설안전·화재예방,교통단속,교통정보수집·분석,기타다른법령
총 계,"75,431","52,359","7,711","5,942","1,258","2,012","5,439",31,679
종로구,"1,729","1,360",41,109,0,110,109,0,0
중구,"2,001",1180,75,165,62,62,290,8,159
용산구,"2,383","1,740",164,154,0,0,252,0,73
성동구,"3,515","2,834",0,177,151,15,338,0,0
광진구,"2,556","2,011",301,98,71,5,70,0,0
동대문,"2,315","1,682",282,174,28,1,134,0,14
중랑구,"3,285","2,872",141,141,11,54,66,0,0
성북구,"3,754","2,489",400,192,359,108,183,23,0
강북구,"2,462","1,831",319,187,0,32,93,0,0
도봉구,"1,356",747,188,135,119,77,90,0,0
노원구,"2,282","1,245",260,402,127,111,137,0,0
은평구,"3,660","2,335",697,399,0,123,106,0,0
서대문,"2,939","1,846",132,521,0,91,317,0,32
마포구,"2,401","1,918",192,158,0,0,133,0,0
양천구,"3,307","2,103",768,265,0,0,171,0,0
강서구,"2,437","1,949",215,155,27,0,91,0,0
구로구,"4,075","2,501",540,384,30,119,257,0,244
금천구,"2,365","1,758",271,174,44,0,118,0,0
영등포,"3,773","2,758",264,175,53,7,516,0,0
동작구,"2,262","1,615",394,127,19,59,43,0,5
관악구,"4,909","3,226",417,282,157,642,185,0,0
서초구,"3,730","2,232",332,170,0,215,781,0,0
강남구,"6,645","4,525",775,496,0,104,593,0,152
송파구,"2,743","1,518",311,543,0,77,294,0,0
강동구,"2,547","2,084",232,159,0,0,72,0,0
