gu_name,year_month,k_remap
종로구,200801,108.1
종로구,200802,108.1
종로구,200803,108.1
종로구,200804,108.1
종로구,200805,108.1
종로구,200806,108.1
종로구,200807,108.1
종로구,200808,108.1
종로구,200809,108.1
종로구,200810,108.1
종로구,200811,108.1
종로구,200812,108.1
종로구,200901,108.1
종로구,200902,108.1
종로구,200903,108.1
종로구,200904,108.1
종로구,200905,108.1
종로구,200906,108.1
종로구,200907,108.1
종로구,200908,108.1
종로구,200909,108.1
종로구,200910,108.1
종로구,200911,108.1
종로구,200912,108.1
종로구,201001,108.1
종로구,201002,108.1
종로구,201003,108.1
종로구,201004,108.1
종로구,201005,108.1
종로구,201006,108.1
종로구,201007,108.1
종로구,201008,108.1
종로구,201009,108.1
종로구,201010,101.4
종로구,201011,102.1
종로구,201012,101.1
종로구,201101,129.0
종로구,201102,135.8
종로구,201103,130.7
종로구,201104,118.6
종로구,201105,105.2
종로구,201106,108.4
종로구,201107,127.1
종로구,201108,131.0
종로구,201109,127.2
종로구,201110,112.9
종로구,201111,102.3
종로구,201112,101.0
종로구,201201,101.4
종로구,201202,94.9
종로구,201203,105.1
종로구,201204,105.1
종로구,201205,94.9
종로구,201206,90.6
종로구,201207,87.2
종로구,201208,90.3
종로구,201209,100.0
종로구,201210,105.7
종로구,201211,101.4
종로구,201212,91.0
종로구,201301,97.0
종로구,201302,106.0
종로구,201303,110.8
종로구,201304,110.6
종로구,201305,114.4
종로구,201306,103.7
종로구,201307,109.8
종로구,201308,113.4
종로구,201309,110.3
종로구,201310,115.1
종로구,201311,112.4
종로구,201312,106.6
종로구,201401,119.1
종로구,201402,126.7
종로구,201403,115.3
종로구,201404,116.5
종로구,201405,111.1
종로구,201406,108.7
종로구,201407,107.6
종로구,201408,118.9
종로구,201409,129.7
종로구,201410,133.5
종로구,201411,126.7
종로구,201412,116.0
종로구,201501,129.1
종로구,201502,131.5
종로구,201503,131.2
종로구,201504,130.1
종로구,201505,128.9
종로구,201506,122.6
종로구,201507,128.0
종로구,201508,135.1
종로구,201509,140.2
종로구,201510,144.7
종로구,201511,140.7
종로구,201512,124.5
종로구,201601,117.1
종로구,201602,110.6
종로구,201603,105.7
종로구,201604,108.3
종로구,201605,117.6
종로구,201606,125.7
종로구,201607,129.0
종로구,201608,133.7
종로구,201609,132.0
종로구,201610,125.4
종로구,201611,113.7
종로구,201612,106.9
종로구,201701,108.6
종로구,201702,113.5
종로구,201703,116.5
종로구,201704,114.0
종로구,201705,120.3
종로구,201706,114.3
종로구,201707,109.7
종로구,201708,103.9
종로구,201709,103.2
종로구,201710,95.0
종로구,201711,104.0
종로구,201712,106.0
종로구,201801,116.8
종로구,201802,114.1
종로구,201803,120.3
종로구,201804,112.6
종로구,201805,111.3
종로구,201806,105.6
종로구,201807,101.6
종로구,201808,106.6
종로구,201809,117.2
종로구,201810,107.4
종로구,201811,108.7
종로구,201812,91.4
종로구,201901,94.5
종로구,201902,100.5
종로구,201903,93.3
종로구,201904,100.6
종로구,201905,108.9
종로구,201906,113.5
종로구,201907,113.4
종로구,201908,121.4
종로구,201909,125.0
종로구,201910,127.1
종로구,201911,120.2
종로구,201912,123.7
종로구,202001,121.5
종로구,202002,132.0
종로구,202003,116.8
종로구,202004,112.7
종로구,202005,108.0
종로구,202006,117.9
종로구,202007,126.9
종로구,202008,135.5
종로구,202009,135.3
종로구,202010,129.6
종로구,202011,135.0
종로구,202012,129.1
종로구,202101,127.1
종로구,202102,109.4
중구,200801,99.7
중구,200802,99.7
중구,200803,99.7
중구,200804,99.7
중구,200805,99.7
중구,200806,99.7
중구,200807,99.7
중구,200808,99.7
중구,200809,99.7
중구,200810,99.7
중구,200811,99.7
중구,200812,99.7
중구,200901,99.7
중구,200902,99.7
중구,200903,99.7
중구,200904,99.7
중구,200905,99.7
중구,200906,99.7
중구,200907,99.7
중구,200908,99.7
