지역명,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,
전국,111.6,112.4,109,113.6,130.9,140.3,133,123.3,118.1,111.9,121.3,125.8,125.2,116.1,107,106.4,107.7,105.4,106.9,101.6,98.9,92.1,91.8,96.6,103.1,108.2,102.2,97.2,104.5,109.1,107.9,105.8,110.6,110.4,110,113.9,117.8,117,112.2,110,118.9,126.7,120.6,119.5,114.8,107.6,110.2,119.3,130.5,129.1,119,111.5,126.2,129.5,133.3,131.4,126.9,123.6,127.6,132.2,135.3,141.1,135,119.2,112.2,108.4,108.1,112.2,115.4,118.4,123.9,128.9,129.5,126,111.5,105.1,109.4,110.4,109,107.6,110.6,107.9,107.3,103.2,102.8,100.7,96.3,95.6,99.8,100.4,104.8,97.2,95.7,93.5,91.3,95.3,99.8,93.1,91.7,85.2,85.4,94.2,88.6,86.2,93.4,97.8,98.8,103.4,107.6,114.4,113,113.6,117,124.3,112.7,105.9,108.6,116.6,120.6,128.3,135.4,135.6,134.6,137.9,135.7,125,
수도권,100.4,101.2,97.9,103.2,124.6,133.7,124.4,112.3,107.4,102.6,115.6,120.9,120.6,110.2,99.3,100.2,103,100.3,100.2,95,93.3,85.1,85.4,90.9,97.8,104.2,97.5,92.4,101,107,105.3,104,109.5,109,110.5,115,121.6,118.5,114.2,110.3,121.6,129.1,122.5,120.3,116.1,108.2,110.5,122.3,133.4,130.9,121,113.8,130.1,132.5,136.2,135,131.4,126.9,132.6,136.6,138.9,145.4,139.1,121.9,116.1,111.6,111.1,116.3,121,125.4,131.6,136,134.8,130.3,114.8,107.4,112.3,113.7,112.6,111.2,115.4,112.6,112.2,107.4,106.5,102,100.9,99.7,105,105.1,108.5,100.3,99.5,96.9,94.2,100.6,105.9,97.8,97.4,87.1,87.7,96.3,91,90.1,97.9,103.3,104.4,107.8,111.5,119.8,118.1,118.2,121.9,130.2,118.6,109.7,111.3,121.5,124.9,131.7,138.3,137.8,136.7,141.7,139.2,127.8,
서울특별시,101.7,100.8,99.3,100.4,127,134.5,126.8,114.8,109.5,106,121.4,126.1,121.6,110.6,100.8,98.8,100.2,95.6,100,93.9,93,85,86.1,92.1,100.5,103.7,98.1,93.7,100.6,110.6,108.3,105.4,109.4,105.9,107.4,117.2,117.8,115.4,113.4,111.3,122.4,129.2,116.4,114.5,112,105.4,109.7,117.8,131.4,132.6,122.4,116.6,131.2,133.1,139.3,138.8,136.4,130.8,138.6,142.8,146.1,152.3,143.9,126.4,119.5,113.7,111.9,113.8,121.9,128.9,133.9,139,136.5,131.7,116.9,108.9,112.8,118,118.5,113.7,120.5,117,118.6,109.6,109.2,104.8,110,106.7,114.3,116.5,117.8,107.1,109,104.9,105.4,114.4,114.8,102.3,104.5,87.8,86,93.2,89.6,93.1,105,111.9,115.5,117.5,123.1,132.6,126,125.3,126.7,132.7,120.2,109.1,108.5,123.3,130.1,137.2,141.1,139,139.4,142.2,137.5,124,
인천광역시,97.1,100.3,92.4,88.5,107.4,119.6,108.9,98,92.8,93.8,108.9,110.4,113.3,108.5,100.7,98.6,99.6,99.5,95,94.4,89.1,81.1,82.8,86.5,91.3,98.8,89.3,88.7,96.8,103.1,100.7,99.9,103.8,107.2,105.6,107.8,114.5,115.7,113.2,107.8,120.7,127.9,125.3,120.4,116.8,109.3,109.2,118.3,128.2,126.2,117.6,113.2,129.6,136.9,142.8,138.6,136.9,133.7,137.3,140.1,140,145.7,137.5,123.8,114.9,109.2,113.4,117.1,118.3,120.7,127.8,133.9,136.2,132,116.3,106.7,116.1,117.7,114.2,110.4,109.4,111.3,110.7,102.8,100.5,100.3,100.6,100.4,97.7,104.2,106.9,100.6,97.2,96.4,94.3,95.6,104.6,88.8,97.2,85.5,90.1,97.5,91.7,92.7,97.9,104.4,103.6,105.7,116.5,125.7,118.3,114.9,122.9,132.4,120,111.4,115.6,123.6,120.3,126.1,135.5,133.6,129.9,135.3,134.4,129.4,
경기도,100.4,101.7,98.2,107.9,126.9,136.4,126.3,113.9,109.3,102.5,113.7,120.3,121.6,110.4,98.2,101.4,105.4,103.1,101.5,95.8,94.3,86,85.6,91.1,97.6,105.6,98.9,92.5,102.2,105.9,104.6,104.2,110.8,111.2,113.3,115.3,125.2,120.8,114.9,110.2,121.4,129.3,125.3,123.6,118.4,109.5,111.3,125.8,135.6,131,120.9,112.2,129.6,131.3,133.1,132.1,127.4,123.2,128.2,132.3,134.5,141.4,136.7,118.9,114.4,110.9,110.1,117.5,121.1,124.4,131.2,134.8,133.5,129.1,113.3,106.8,111.1,110.3,108.9,109.9,113.8,110.3,108.8,107.1,106.3,100.7,95.7,95.5,101.3,98.8,103.6,96.3,94.5,92.6,87.8,93.8,101.1,97.1,93.4,87.1,88.2,97.8,91.7,87.8,93.9,98.1,98.2,102.7,103.8,111.2,113.6,114.9,118.9,128.3,117.4,109.8,112,120.1,122.9,129.7,137.2,138.1,136.6,142.9,141.2,129.7,
비수도권,126.4,127,123.2,126,138.4,148,141.7,135.4,130.2,122.3,127.7,131.3,130.6,123.1,116,113.6,113,111.3,114.5,109.2,105.3,100,98.9,103,109,112.9,107.5,102.6,108.2,111.3,110.9,107.8,111.9,111.9,109.5,112.7,113.5,115.4,110,109.8,115.9,123.9,118.8,118.8,113.5,107.1,109.8,115.6,127.2,127.1,116.9,108.9,121.8,125.8,129.9,127.2,121.9,119.7,121.9,127.1,131.1,136.2,130.3,116.1,107.7,104.9,104.7,107.5,109,110.2,115.2,121,123.6,121.1,108.1,102.7,106.1,106.8,104.9,103.4,104.9,102.4,101.4,99.1,98.3,99.1,90.9,90.7,93.6,94.7,100.3,96.4,91.2,89.6,87.6,88.9,92.5,86.9,84.5,83.3,86.7,89.3,86.3,82.4,87.8,92.3,92.8,97.6,103.1,108.6,107.4,108.5,112.1,118.6,106,102,106,111.4,115.7,125.4,132.3,133.2,132.4,133.9,131.9,122.2,
부산광역시,140.7,143.8,135.9,135,146.9,156.3,147,143.2,134.9,123,129.6,134.3,133.1,123.7,117.8,115.9,112.4,108,113.8,107.6,105.3,98.6,96.2,98.6,108.3,109.3,104.4,97.2,101.7,108.5,111.1,105.9,109.8,113.2,111.8,112.9,107.7,112.4,106.3,108.1,117.9,124.7,122,123.2,118.2,112.3,117.1,124.3,133.3,135.5,123.9,114.4,123,130.6,134.2,131.6,126.1,124.4,128.4,137.9,142.4,149.2,141.9,129.3,121.2,118.6,118.6,121.4,120.7,124,130.1,133.9,136,132.8,121.3,111.1,118,117.3,115,114.4,114.5,111.1,110.8,102.9,99.1,99.1,92.6,88.9,90.1,96,100.7,95.5,90.6,88.4,89.9,87.4,90.9,83.4,83.1,80,82.2,88.2,84.9,81.8,86.8,89,88.9,97.3,103.2,107.3,107.9,105.9,108,110.2,97.5,95,100.9,108.3,115.6,126.6,132.2,135.1,130.5,127.8,129.4,121.9,
대구광역시,115.2,115.3,113.1,118.2,131.7,141.6,139,130.8,129.9,122,129.9,134,131.8,127.6,126.1,124.1,125.7,124.8,126.5,121.2,116.9,116,115.7,120.8,127.5,128.5,122.6,121.9,130.4,131.7,127.8,124,127.3,126.5,121.6,125,127.9,131.3,129,125,130.8,137.4,127.5,130.2,124,123.4,125.6,129.8,142.4,141.2,130.7,120.3,137.7,140.3,142.6,140.5,133.2,131.8,134.3,134,135,137.7,127.1,111,99.9,91.7,89.1,87.4,94.4,95.9,97.9,107.7,112,109.8,92.8,94,100,103.8,103.8,103.7,105.7,109.1,108.8,100.3,97.5,99.2,98.5,96,99.6,98.6,108.6,103.5,103.8,101.8,100,105.2,107.2,101.4,100,93.5,91.9,94.9,91.9,98.1,104.9,111.7,108.6,113.6,116.8,124.2,119.6,121.6,123.1,127.2,112.4,104,107.8,115.1,121.4,131.5,137.3,137.8,141.4,140.3,132.9,119.1,
광주광역시,125.5,128.6,123.9,126,132.6,143.5,145.2,139.1,135.7,125.4,134.6,136.3,132.1,128.2,120,120.7,123.9,117.2,123.6,121.1,115.2,109.2,107.2,112.8,114.3,120.1,117.4,114.5,117.5,122.4,119.9,112.7,118.1,120.2,116.8,126.7,126.6,123.6,116.8,113.8,118.9,125.9,118.9,123.2,118.2,112.8,113.9,120.5,127.1,129.2,118.3,115.2,130.3,129.6,137.5,134.5,128.3,125.6,125.8,131.7,132.7,135.2,128.5,114.7,113.3,109.3,102.8,104.6,105.1,106.5,113.4,117,115,116.2,105,104.7,105.2,107.2,103.2,103.5,107.8,109,110.7,100.4,101.9,104.8,102.4,104,107.6,103.3,111,106.9,104.2,102.4,107,107.3,112.5,112,103.9,97,93.1,101,95.4,93.8,99.1,93.9,91.3,93.8,101,106.7,102.2,102.8,109.3,120.4,104.7,99.8,103.7,111.6,119.5,125.8,132.3,135.4,137.5,135.2,137.1,120,
대전광역시,131.4,129.5,125.9,127,139.5,148.8,133.9,125.4,126.1,119.5,121.4,125.8,125.7,114.5,102.5,95.7,96.9,98,96.2,89.8,87.5,82,81.3,92.5,96,101.8,98.7,93.5,99.5,101.3,101.1,97.5,105.9,106.7,104.9,109.6,110.8,114.6,113.4,108.9,110.4,116.7,111.3,109.8,108.5,99.8,102.1,105.5,119.8,120.6,113.8,105.5,114.7,117.2,125.1,121.3,116.3,113.7,116.9,119.5,124.9,131,130.8,117.7,105,104.1,110.4,113.8,115.7,113.5,123.3,127.3,128,128.2,116.8,116.5,118.6,117.5,112.8,108.3,103.8,99.7,99.9,104.7,104.8,101.7,98.3,97,105.3,102.2,108.5,105.1,101.5,94.8,90.9,92.1,102.1,100.6,97,87.3,87.8,101.3,97.6,97,102.2,108.1,115.5,120.9,123,127.3,126.8,127.7,131.3,136.6,121.7,117,121.1,122.7,127.2,133.2,138.9,142.3,137.6,143.3,137.3,127.2,
